Place,Latitude,Longitude
Tegallang rice terraces,-8.4340403,115.2770682
Ulun Danu Beratan Temple,-8.2751807,115.1646347
Coffee plantation tour,-8.2812629,115.08459
Leke leke waterfall,-8.3643494,115.1951144
Pura Tirta Empul ,-8.4158511,115.2491067
Tukad Cepung Waterfalls,-8.4410173,115.3846192
Tirta ganga palace,-8.4123473,115.5851032
Lehangan sweet view point,-8.37215,115.6371184
Tibumana waterfall,-8.5068384,115.3308944
Sacred Monkey forest,-8.5193723,115.2437209
Ubud art market,-8.5071562,115.2603838
Ubud palace,-8.5067194,115.2605335
Saraswati Temple,-8.5057357,115.2446775
Gili T Island,-8.3503092,116.0274514
Crystal beach,-8.7156144,115.4422911
Keling king beach,-8.7503865,115.4704331
Angel Billabong,-8.7335003,115.4160198
Broken beach,-8.7327934,115.4339229
Hike to Guangan waterfall,-8.7812546,115.5173131
Diamond beach,-8.7751348,115.6180395
Tanah lot temple,-8.621213,115.086807
Kuta market,-8.7209358,115.1664696
Padang Padang beach,-8.8111524,115.1016356
Uluwata temple,-8.8293566,115.0840778
Timbumma ,-8.5047047,115.329409
Pura tirta temple,-8.4157037,115.3068497
Alas harum,-8.43989,115.2784188
KYND Cafe,-8.6747474,115.1544579
Ulluwatu temple,-8.8291432,115.0849069
Legion night club,-8.7131181,115.155561
Swing heaven,-8.5010689,115.236199
Monkey forest,-8.5192233,115.2586697
Lempuyang Temple,-8.3913786,115.6285085
Atuh Beach,-8.773411,115.604309
Crystal bay,-8.7154245,115.45674
Finns beach club,-8.6667652,115.1372097